127.0.0.1 - - [13/May/2024:16:50:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/May/2024:16:50:30 +0530] "GET /project_3/ HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [13/May/2024:16:50:30 +0530] "GET /project_3/img/4623143%20AI%202.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:16:50:30 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/May/2024:16:50:35 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3730
0:0:0:0:0:0:0:1 - - [13/May/2024:16:50:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/May/2024:16:50:40 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7414
0:0:0:0:0:0:0:1 - - [13/May/2024:16:50:40 +0530] "GET /project_3/img/2024%20yellow.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:16:50:51 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2024:16:50:51 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9928
0:0:0:0:0:0:0:1 - - [13/May/2024:16:50:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/May/2024:16:50:55 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20396
0:0:0:0:0:0:0:1 - - [13/May/2024:16:50:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/May/2024:16:50:55 +0530] "GET /project_3/img/new%20pro11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2024:16:52:56 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20396
0:0:0:0:0:0:0:1 - - [13/May/2024:16:52:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/May/2024:16:55:38 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20396
0:0:0:0:0:0:0:1 - - [13/May/2024:16:55:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/May/2024:16:56:33 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20396
0:0:0:0:0:0:0:1 - - [13/May/2024:16:56:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
