127.0.0.1 - - [01/May/2024:22:22:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/May/2024:22:22:07 +0530] "GET /project_3/ HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [01/May/2024:22:22:07 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/May/2024:23:51:06 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3735
0:0:0:0:0:0:0:1 - - [01/May/2024:23:51:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:23:51:10 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7370
0:0:0:0:0:0:0:1 - - [01/May/2024:23:51:27 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7370
0:0:0:0:0:0:0:1 - - [01/May/2024:23:51:43 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2024:23:51:43 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9929
0:0:0:0:0:0:0:1 - - [01/May/2024:23:51:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:23:51:46 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 18685
0:0:0:0:0:0:0:1 - - [01/May/2024:23:51:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:23:51:46 +0530] "GET /project_3/img/34343.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2024:23:53:04 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 18886
0:0:0:0:0:0:0:1 - - [01/May/2024:23:53:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:23:53:18 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 19040
0:0:0:0:0:0:0:1 - - [01/May/2024:23:53:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:23:54:34 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 17957
0:0:0:0:0:0:0:1 - - [01/May/2024:23:54:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:23:54:43 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 18685
0:0:0:0:0:0:0:1 - - [01/May/2024:23:54:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:23:55:51 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 18885
0:0:0:0:0:0:0:1 - - [01/May/2024:23:55:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:23:56:11 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 19054
0:0:0:0:0:0:0:1 - - [01/May/2024:23:56:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:23:56:26 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 19054
0:0:0:0:0:0:0:1 - - [01/May/2024:23:56:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:23:56:31 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 18685
0:0:0:0:0:0:0:1 - - [01/May/2024:23:56:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:23:56:56 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 18939
0:0:0:0:0:0:0:1 - - [01/May/2024:23:56:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:23:57:06 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 18919
0:0:0:0:0:0:0:1 - - [01/May/2024:23:57:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:23:57:21 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 18887
0:0:0:0:0:0:0:1 - - [01/May/2024:23:57:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:23:57:48 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 18885
0:0:0:0:0:0:0:1 - - [01/May/2024:23:57:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:23:58:08 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 19042
0:0:0:0:0:0:0:1 - - [01/May/2024:23:58:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:23:58:18 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 18685
0:0:0:0:0:0:0:1 - - [01/May/2024:23:58:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:23:59:47 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 19053
0:0:0:0:0:0:0:1 - - [01/May/2024:23:59:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:23:59:54 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 18685
0:0:0:0:0:0:0:1 - - [01/May/2024:23:59:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
