127.0.0.1 - - [28/May/2024:16:39:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/May/2024:16:39:02 +0530] "GET /project_3/ HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [28/May/2024:16:39:02 +0530] "GET /project_3/img/4623143%20AI%202.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:16:39:02 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/May/2024:16:39:11 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3730
0:0:0:0:0:0:0:1 - - [28/May/2024:16:39:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/May/2024:16:39:15 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7414
0:0:0:0:0:0:0:1 - - [28/May/2024:16:39:15 +0530] "GET /project_3/img/2024%20yellow.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:16:39:28 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2024:16:39:28 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9928
0:0:0:0:0:0:0:1 - - [28/May/2024:16:39:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/May/2024:16:39:33 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20398
0:0:0:0:0:0:0:1 - - [28/May/2024:16:39:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/May/2024:16:43:43 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20398
0:0:0:0:0:0:0:1 - - [28/May/2024:16:43:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/May/2024:16:43:43 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 200 95935
0:0:0:0:0:0:0:1 - - [28/May/2024:16:43:43 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [28/May/2024:16:43:43 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [28/May/2024:16:43:43 +0530] "GET /project_3/img/new%20pro11.jpg HTTP/1.1" 200 111301
0:0:0:0:0:0:0:1 - - [28/May/2024:16:43:43 +0530] "GET /favicon.ico HTTP/1.1" 404 762
