0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:00:58 +0530] "GET /project_3/img/book_shelf.jpg HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:01:46 +0530] "GET /project_3/ctl/RoleCtl HTTP/1.1" 200 12634
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:01:46 +0530] "GET /project_3/img/book_shelf.jpg HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:02:05 +0530] "GET /project_3/ctl/CollegeCtl HTTP/1.1" 200 14095
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:02:05 +0530] "GET /project_3/img/colleges.jpg HTTP/1.1" 200 228058
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:03:28 +0530] "GET /project_3/ctl/CourseCtl HTTP/1.1" 200 13043
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:03:28 +0530] "GET /project_3/img/books_10.jpg HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:04:01 +0530] "GET /project_3/ctl/StudentCtl HTTP/1.1" 200 17594
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:04:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:04:01 +0530] "GET /project_3/img/user_reg.jpg HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:04:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:04:26 +0530] "GET /project_3/ctl/FacultyCtl HTTP/1.1" 200 20754
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:04:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:04:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:04:26 +0530] "GET /project_3/img/faculty_img.jpg HTTP/1.1" 200 3524000
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:04:52 +0530] "GET /project_3/ctl/TimeTableCtl HTTP/1.1" 200 17752
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:04:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:04:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:04:52 +0530] "GET /project_3/img/time_table.jpg HTTP/1.1" 200 1663708
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:14:29 +0530] "GET /project_3/ctl/SubjectCtl HTTP/1.1" 200 13364
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:14:29 +0530] "GET /project_3/img/books_11.jpg HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:18:02 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20390
0:0:0:0:0:0:0:1 - - [27/Apr/2024:17:18:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
