127.0.0.1 - - [17/May/2024:18:50:24 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/May/2024:18:50:24 +0530] "GET /project_3/ HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [17/May/2024:18:50:25 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/May/2024:18:50:48 +0530] "GET /project_3/ HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [17/May/2024:18:50:55 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3730
0:0:0:0:0:0:0:1 - - [17/May/2024:18:50:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/May/2024:18:50:59 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7414
0:0:0:0:0:0:0:1 - - [17/May/2024:18:51:11 +0530] "POST /project_3/LoginCtl HTTP/1.1" 500 1010
0:0:0:0:0:0:0:1 - - [17/May/2024:18:51:11 +0530] "GET /project_3/ErrorCtl/img/logo.png HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [17/May/2024:18:51:15 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7414
0:0:0:0:0:0:0:1 - - [17/May/2024:18:51:26 +0530] "POST /project_3/LoginCtl HTTP/1.1" 500 1010
0:0:0:0:0:0:0:1 - - [17/May/2024:18:51:29 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7414
0:0:0:0:0:0:0:1 - - [17/May/2024:18:51:34 +0530] "POST /project_3/LoginCtl HTTP/1.1" 500 1010
0:0:0:0:0:0:0:1 - - [17/May/2024:18:54:31 +0530] "GET /project_3/ HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [17/May/2024:18:54:36 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3730
0:0:0:0:0:0:0:1 - - [17/May/2024:18:54:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [17/May/2024:18:54:40 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7414
0:0:0:0:0:0:0:1 - - [17/May/2024:18:54:46 +0530] "POST /project_3/LoginCtl HTTP/1.1" 500 1010
0:0:0:0:0:0:0:1 - - [17/May/2024:18:57:35 +0530] "GET /project_3/ HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [17/May/2024:18:57:39 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3730
0:0:0:0:0:0:0:1 - - [17/May/2024:18:57:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
