127.0.0.1 - - [05/May/2024:11:50:00 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/May/2024:11:50:01 +0530] "GET /project_3/ HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [05/May/2024:11:50:01 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/May/2024:11:50:05 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3735
0:0:0:0:0:0:0:1 - - [05/May/2024:11:50:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/May/2024:11:50:08 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7419
0:0:0:0:0:0:0:1 - - [05/May/2024:11:52:00 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7419
0:0:0:0:0:0:0:1 - - [05/May/2024:11:52:16 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7663
0:0:0:0:0:0:0:1 - - [05/May/2024:12:04:20 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/May/2024:12:04:20 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9929
0:0:0:0:0:0:0:1 - - [05/May/2024:12:04:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/May/2024:12:04:26 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 15783
0:0:0:0:0:0:0:1 - - [05/May/2024:12:04:26 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [05/May/2024:12:13:42 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 15783
0:0:0:0:0:0:0:1 - - [05/May/2024:12:13:42 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [05/May/2024:12:14:31 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20390
0:0:0:0:0:0:0:1 - - [05/May/2024:12:14:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/May/2024:12:14:39 +0530] "GET /project_3/ctl/UserCtl?id=2 HTTP/1.1" 200 17750
0:0:0:0:0:0:0:1 - - [05/May/2024:12:14:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/May/2024:12:26:10 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 17963
0:0:0:0:0:0:0:1 - - [05/May/2024:12:26:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/May/2024:12:26:17 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 17964
0:0:0:0:0:0:0:1 - - [05/May/2024:12:26:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/May/2024:12:26:47 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 17967
0:0:0:0:0:0:0:1 - - [05/May/2024:12:26:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
