127.0.0.1 - - [07/Dec/2023:13:33:56 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:33:57 +0530] "GET /project_3/ HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:33:58 +0530] "GET /project_3/img/school.jpg HTTP/1.1" 200 1475182
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:33:58 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:34:00 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:34:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:34:01 +0530] "GET /project_3/img/university_img.jpg HTTP/1.1" 200 2064282
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:35:31 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:35:31 +0530] "GET /project_3/img/login_img.jpg HTTP/1.1" 200 2263867
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:40:56 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:40:56 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10009
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:40:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:41:18 +0530] "GET /project_3/ctl/SubjectCtl HTTP/1.1" 200 13319
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:41:18 +0530] "GET /project_3/img/books_11.jpg HTTP/1.1" 200 4710404
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:42:11 +0530] "GET /project_3/ctl/MarksheetCtl HTTP/1.1" 200 15560
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:42:11 +0530] "GET /project_3/img/book_shelf.jpg HTTP/1.1" 200 3829586
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:43:11 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 18460
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:43:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/index.html HTTP/1.1" 200 5832
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/stylesheet.css HTTP/1.1" 200 23177
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/jquery/jquery-ui.css HTTP/1.1" 200 20275
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/script.js HTTP/1.1" 200 5192
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/jquery/jquery-3.5.1.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/jquery/jszip/dist/jszip.min.js HTTP/1.1" 200 96937
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/jquery/jquery-ui.js HTTP/1.1" 200 71563
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/jquery/jszip-utils/dist/jszip-utils.min.js HTTP/1.1" 200 1777
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/jquery/jszip/dist/jszip.js HTTP/1.1" 200 97649
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/search.js HTTP/1.1" 200 12628
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/jquery/jszip-utils/dist/jszip-utils.js HTTP/1.1" 200 4483
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/module-search-index.zip HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/tag-search-index.zip HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/package-search-index.zip HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/member-search-index.zip HTTP/1.1" 200 8041
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/type-search-index.zip HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/module-search-index.js HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/member-search-index.js HTTP/1.1" 200 113165
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/tag-search-index.js HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/package-search-index.js HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/type-search-index.js HTTP/1.1" 200 5412
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/resources/glass.png HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:00 +0530] "GET /project_3/doc/resources/x.png HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:10 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 15745
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:10 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 200 95935
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:10 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:10 +0530] "GET /project_3/img/universe_02.jpg HTTP/1.1" 200 7343627
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:10 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:45:22 +0530] "GET /project_3/ctl/JasperCtl HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:46:10 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20422
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:46:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:46:11 +0530] "GET /project_3/img/universe_01.jpg HTTP/1.1" 200 3820558
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:47:18 +0530] "GET /project_3/ctl/UserCtl?id=11 HTTP/1.1" 200 17456
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:47:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:47:31 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 17710
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:47:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:48:30 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20422
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:48:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:49:05 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 20670
0:0:0:0:0:0:0:1 - - [07/Dec/2023:13:49:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
