127.0.0.1 - - [23/Nov/2023:12:08:33 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Nov/2023:12:08:40 +0530] "GET /project_3/ HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [23/Nov/2023:12:08:46 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Nov/2023:12:08:59 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [23/Nov/2023:12:08:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Nov/2023:12:09:04 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [23/Nov/2023:12:09:19 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7423
0:0:0:0:0:0:0:1 - - [23/Nov/2023:12:09:32 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2023:12:09:32 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10009
0:0:0:0:0:0:0:1 - - [23/Nov/2023:12:09:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Nov/2023:12:09:41 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 15745
0:0:0:0:0:0:0:1 - - [23/Nov/2023:12:09:41 +0530] "GET /project_3/img/universe_02.jpg HTTP/1.1" 200 7343627
0:0:0:0:0:0:0:1 - - [23/Nov/2023:12:09:41 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [23/Nov/2023:12:09:52 +0530] "GET /project_3/ctl/JasperCtl HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [23/Nov/2023:13:50:52 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 7433
0:0:0:0:0:0:0:1 - - [23/Nov/2023:13:50:58 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [23/Nov/2023:13:51:07 +0530] "GET /project_3/ HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [23/Nov/2023:13:52:52 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [23/Nov/2023:13:52:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Nov/2023:13:55:07 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [23/Nov/2023:13:58:38 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2023:13:58:38 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10009
0:0:0:0:0:0:0:1 - - [23/Nov/2023:13:58:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Nov/2023:14:02:14 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 18460
0:0:0:0:0:0:0:1 - - [23/Nov/2023:14:02:14 +0530] "GET /project_3/img/book_shelf.jpg HTTP/1.1" 200 3829586
