127.0.0.1 - - [07/Nov/2023:14:25:15 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:25:16 +0530] "GET /project_3/ HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:25:16 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:25:16 +0530] "GET /project_3/img/school.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:27:08 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:27:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:27:08 +0530] "GET /project_3/img/university_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:28:38 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:28:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:33:43 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:33:43 +0530] "GET /project_3/img/login_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:36:51 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7175
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:38:18 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7175
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:39:00 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7174
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:41:43 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:41:43 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12521
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:41:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:41:43 +0530] "GET /project_3/img/user_reg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:41:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:43:59 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7174
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:44:20 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:44:20 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10009
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:44:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:45:11 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20422
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:45:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:45:11 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:45:11 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:45:11 +0530] "GET /project_3/img/universe_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:46:45 +0530] "GET /project_3/ctl/UserCtl?id=13 HTTP/1.1" 200 17455
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:46:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:46:45 +0530] "GET /project_3/img/book_shelf.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:47:19 +0530] "POST /project_3/ctl/UserCtl HTTP/1.1" 200 17711
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:47:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:48:07 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20422
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:48:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:48:17 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 20670
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:48:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:55:16 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7389
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:57:32 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:57:32 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10009
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:57:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:58:54 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20422
0:0:0:0:0:0:0:1 - - [07/Nov/2023:14:58:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Nov/2023:15:02:37 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 15681
0:0:0:0:0:0:0:1 - - [07/Nov/2023:15:02:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Nov/2023:15:03:14 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20422
0:0:0:0:0:0:0:1 - - [07/Nov/2023:15:03:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
